title|description|start_date|end_date|category|tags|content_type|institution|Id
Concurso Fondo para la Investigación 2023 – I|"El Vicerrectorado de Investigación de la Universidad Católica de Santa María convoca a docentes e investigadores a presentar propuestas para el ""Fondo para la Investigación en la Universidad Católica de Santa María 2023"". El concurso busca fortalecer la investigación científica y el desarrollo tecnológico en la universidad, promoviendo proyectos de iniciación científica, investigación básica o aplicada, y desarrollo tecnológico. Los proyectos deben contribuir al avance del conocimiento, cumplir con objetivos específicos y entregar resultados concretos. La finalidad es impactar a nivel local e internacional y promover alianzas estratégicas. Tags: Investigación Científica, Desarrollo Tecnológico, Universidad, Convocatoria, Proyectos de Investigación. Categoría: Investigación y Desarrollo."|2023-05-03|2023-07-16|Investigación|Investigación Científica, Desarrollo Tecnológico, Universidad, Convocatoria, Proyectos de Investigación.|Evento|UCSM|11
Call For Papers – Convocatoria de artículos para Véritas 2023|"El Vicerrectorado de Investigación de la Universidad Católica de Santa María (UCSM) por medio de la Dirección de Transferencia Tecnológica y del Conocimiento, convoca al público en general a presentars a Call For Papers 2023.
"|2023-05-03||Investigación|Investigación Científica|Proyecto|UCSM|12
Mecuy|José Huacani Laura, sustento su propuesta de desarrollar el producto, porque en la actualidad en el mercado local existe embutidos que tienen alto contenido de grasas saturadas; la ingesta de esta causa en el ser humano que se eleve sus niveles de colesterol y producto de ello pueden desarrollar enfermedades como diabetes, hipertensión arterial y en época del Covid-19, se convierten en vulnerables.|2020-09-24||Emprendimiento|procesamiento de carne, alimentaria, economía, embutidos de cuy, nutrición|Proyecto|INNICIA|13
Concurso de Ordinarización para Docentes Investigadores a Tiempo Completo en la UCSM|"
El concurso se refiere al proceso de selección para ingresar a la docencia como Docente Investigador a tiempo completo en la Universidad Católica de Santa María (UCSM). Los candidatos deben ser ciudadanos peruanos en ejercicio o extranjeros residentes y cumplir con requisitos como poseer títulos académicos de Maestro y/o Doctor, contar con experiencia docente e investigadora, tener publicaciones científicas, mantener una buena salud mental y física, y carecer de antecedentes penales. El proceso consta de dos etapas: evaluación de méritos y una disertación oral sobre temas relacionados con su área de investigación. Un comité de evaluación califica a los candidatos y emite un ranking final, determinando quiénes son admitidos como Docentes Investigadores ordinarios en la UCSM. Los candidatos que no superen este proceso solo pueden intentarlo una vez más antes de ser retirados de la institución."|2023-02-09|2023-03-06|Docencia|"Ingreso a la docencia, Docente Investigador, UCSM, Evaluación de méritos, Disertación oral, Calidad académica

"|Evento|UCSM|14
Effect 5.0|Emprendimiento enfocado a desarrollar una bebida con alto valor nutridicional para acompañar a los deportistas y personas que deseen una dieta saludable. Es decir elaboración y desarrollo de bebidas energéticas orgánizas a base de espirulina, maca, cafeína, principalmente|2022-07-14||Emprendimiento|Bebida, nutrición, deportista, energético|Proyecto|INNICIA|15
Webinar: Como identificar revistas predatorias y los riesgos de publicar en ellas|En los últimos años, la comunicación científica ha experimentado cambios significativos y junto con ellos, las revistas predatorias han surgido como resultado de varios factores, incluyendo la presión para publicar y tener impacto, el impulso de la ciencia abierta y la participación de nuevos actores en la industria editorial.|2023-07-15||Investigación|Comunicación Científica, Revistas Predatorias, Publicación Académica, Ciencia Abierta, Ética Editorial|Evento|UCSM|16
Laboratorio de Emprendimiento|Registra tu startup con el respaldo de la incubadora de empresa INNICIA a nuestro proceso de selección y fortalecimiento para la postulación a la convocatoria Startup Perú 9G y pasa directamente a la evaluación de Comité Técnico, puedes acceder a nuestros talleres de preparación con fondos no reembolsables del Ministerio de la Producción que inician a partir del Lunes 9 de enero de 2023, el registro para la postulación con respaldo estará abierto hasta el viernes 20 de enero de 2023.|2023-01-20||Emprendimiento|Registra, Startup, Incubadora de empresa, INNICIA, Proceso de selección, Fortalecimiento, Postulación, Convocatoria, Startup Perú 9G, Comité Técnico, Talleres de preparación, Fondos no reembolsables, Ministerio de la Producción, Registro, Respaldado|Evento|INNICIA|17
Fondo e incentivo a la formación de: Semilleros de Investigación|"El Vicerrectorado de Investigación de la Universidad Católica de Santa María convoca a estudiantes de pregrado que deseen desarrollar habilidades de investigación a participar en el concurso ""Semilleros de Investigación UCSM 2022"". Los objetivos incluyen fortalecer las áreas de investigación prioritarias, fomentar la participación de estudiantes en proyectos de investigación, desarrollar capacidades de investigación ética y análisis, y promover alianzas con instituciones de investigación. Los equipos de investigación deben estar compuestos por un docente mentor y estudiantes de pregrado, cumpliendo con ciertos requisitos. Los proyectos seleccionados recibirán financiamiento y apoyo para la divulgación de resultados"|2022-05-06|2022-06-13|Investigación|Investigación Científica, Universidad Católica de Santa María, Semilleros de Investigación, Desarrollo de Habilidades de Investigación, Financiamiento de Proyectos de Investigación, Divulgación de Resultados|Proyecto|UCSM|18
Startup|"¡Bienvenidos al emocionante mundo de la innovación y el espíritu empresarial! Nuestro concurso de emprendimiento es la plataforma perfecta para que los soñadores se conviertan en creadores y los creadores en empresarios exitosos. Si tienes una idea brillante, un proyecto innovador o una startup en ciernes, este es tu momento para brillar.

"|2023-01-20||Emprendimiento|Innovación, Emprendimiento, Ideas, Premios, Mentores, Inversionistas, Red de contactos, Capacitación, Creatividad, Éxito empresarial.|Evento|INNICIA|19
Call For Papers – Convocatoria de artículos para Véritas 2022|El Vicerrectorado de Investigación de la Universidad Católica de Santa María (UCSM) por medio de la Dirección de Transferencia Tecnológica y del Conocimiento, convoca al público en general a presentar a través del siguiente enlace y enviando sus manuscritos al correo otratec@ucsm.edu.pe. El manuscrito presentado será puesto a consideración del Comité Editor de la revista Véritas.|2022-05-03||Investigación y Desarrollo.|Investigación Científica|Proyecto|UCSM|20
Tripper|Tripper es una plataforma online interactiva donde podrán vivir la experiencia. Tripper permite tomar tours online, obtener aprendizaje de las culturas y brindar ayuda social y ecológica. Además, las empresas relacionadas al turismo como hoteles, restaurantes, etc, podrán ofrecer sus paquetes.|||emprendimiento|Tripper, Plataforma online, Experiencia, Tours online, Aprendizaje cultural, Ayuda social, Ayuda ecológica, Empresas de turismo, Hoteles, Restaurantes, Paquetes turísticos.|Proyecto|INNICIA|21
Talleres de diseño de Investigación para fondos concursables 2022-2|Talleres de diseño de Investigación para fondos concursables 2022-2|2022-08-06|2022-08-09|Investigación|Diseño de Investigación, Fondos Concursables, Talleres 2022-2, Desarrollo de Proyectos, Capacitación en Investigación|Evento|UCSM|22
Merakinv|Es un equipo multidisciplinario enfocado en resolver problemas de cualquier ámbito mediante soluciones innovadoras, que está dedicado a la construcción de sistemas de desinfección automática, comprometidos con la mejora continua de nuestro prototipo, enfocada en la satisfacción de nuestros clientes, ofreciéndoles una alternativa novedosa de desinfección para los hogares de las familias Arequipeñas.|||emprendimiento|Equipo multidisciplinario, Problemas, Soluciones innovadoras, Sistemas de desinfección automática, Mejora continua, Prototipo, Satisfacción del cliente, Alternativa novedosa, Desinfección, Hogares, Familias, Arequipeñas.|Proyecto|INNICIA|23
Wellcome|Es un paquete, con el que busca promover un turismo seguro, descentralizado al sector turismo y evitando aglomeraciones. Controlaremos mediante un dispositivo electrónico que se colocará en los establecimientos que adquieran el paquete Well Come.|||Emprendimiento|Paquete, Turismo seguro, Descentralizado, Sector turismo, Aglomeraciones, Dispositivo electrónico, Establecimientos, Paquete Well Come.|Proyecto|INNICIA|24
Curso de Postgrado en investigación e innovación en ingeniería|Curso de Postgrado en investigación e innovación en ingeniería que abordó estrategias de vigilancia y prospectiva tecnológica, ecosistemas de innovación y emprendimiento, la industria 4.0 y la relevancia de las publicaciones académicas. Explore las últimas tendencias en ingeniería y desarrolle habilidades esenciales para la investigación y la innovación.|2022-10-24|2022-10-26|Innovación|Postgrado, Vigilancia Tecnológica, Prospectiva Tecnológica, Ecosistemas de Innovación, Industria 4.0, Publicaciones Académicas, Investigación e Innovación|Evento|UCSM|25
Añaki Suysu|Es un bioreactor industrial que elimina olores fétidos de la industria pesquera, ya que utiliza las bacterias Bacillus thuringiensis que degradan trimetilamino (causante del mal olor) transformándolo en componentes simples como es Agua, CO2 ofreciendo eficiencia de eliminación de este mal olor entre 89-100%.|||Emprendimiento|Bioreactor industrial, Elimina olores fétidos, Industria pesquera, Bacterias Bacillus thuringiensis, Trimetilamina, Mal olor, Agua, CO2, Eficiencia, Eliminación.|Proyecto|INNICIA|26
FIT|Es una empresa que se encarga de desarrollar maquinaria la cual reduce y extermina el 100% de los gases tóxicos y contaminantes en el proceso de producción de harina de pescado aplicando un control PID siendo efectivo en su totalidad y creando una maquina con polipropileno para su gran soporte técnico y atmosférico|||Emprendimiento|Empresa, Desarrollo, Maquinaria, Reducción, Exterminación, Gases tóxicos, Contaminantes, Producción, Harina de pescado, Control PID, Efectivo, Polipropileno, Soporte técnico, Atmosférico.|Proyecto|INNICIA|27
Crokis|Crokis es una plataforma digital para la difusión efectiva y promoción de todos los servicios involucrados en el sector turismo en busca de la reactivación económica a través de mapas inteligentes y colaborativos.|||Emprendimiento|"Crokis, Plataforma digital, Difusión, Promoción, Servicios, Sector turismo, Reactivación económica, Mapas inteligentes, Colaborativos.




"|Proyecto|INNICIA|28
Gajob|El manejo de la oferta y demanda de los puestos laborales para alumnos/exalumnos para instituciones educativas. No se logra un alcance y realidad actual. Propuesta una herramienta tecnológica basada en una plataforma web que permita a las instituciones lograr administrar y realizar seguimiento de sus alumnos/exalumnos con respecto a ofertas laborales o puestos que desempeñan actualmente.|||Emprendimiento|Manejo, Oferta y demanda, Puestos laborales, Alumnos, Exalumnos, Instituciones educativas, Herramienta tecnológica, Plataforma web, Administrar, Seguimiento, Ofertas laborales, Puestos actuales.|Proyecto|INNICIA|29
"Vision Ccal
"|Emprendimiento enfocado a utilizar inteligencia artificial y reconocimiento de imágenes para ubicar errores dentro de la selección de cuero Wet Blue, propuesta para empresas y microempresas del sector curtiembre.|||Emprendimiento|Emprendimiento, Inteligencia artificial, Reconocimiento de imágenes, Errores, Selección, Cuero Wet Blue, Propuesta, Empresas, Microempresas, Sector curtiembre.|Proyecto|INNICIA|30
"3D Odonto Learning
"|Pacientes odontológicos impresos 3D con software de apoyo multimedia para el aprendizaje.|||Emprendimiento|Odontología, 3D, software, multimedia, aprendizaje|Proyecto|INNICIA|31
Biocyanotech|Buscamos desarrollar un producto enriquecido con un alga especifica de la región alto andina de Perú llamado “Cushuro” que posee elevada disponibilidad de nutrientes, en especial gran contenido de Hierro, para ayudar a niños entre 2 a 10 años a prevenir cuadros de anemia, debido al déficit de consumo de alimentos nutritivos y alta ingesta de azucares refinados. Utilizando biotecnología para cultivar en condiciones controladas, se busca producirlo de forma inocua, así como duplicar su producción.|||Emprendimiento|"Producto enriquecido, Alga Cushuro, Región alto andina, Perú, Nutrientes, Hierro, Niños, Prevención, Anemia, Consumo de alimentos nutritivos, Ingesta de azúcares refinados, Biotecnología, Cultivar, Condiciones controladas, Producción inocua, Duplicar producción.




"|Proyecto|INNICIA|32
Valorización del Iodo residual generado en el proceso de depuración de aguas en la Región Sur de Perú (Arequipa) para la remoción y/o degradación de toxicidad en contaminantes acuosos|En este estudio, se investigó la depuración parcial de aguas residuales industriales altamente contaminadas con Cromo (III) y (VI) en el parque industrial de Río Seco, Arequipa, utilizando microorganismos bacterianos nativos. Se aislaron y caracterizaron seis cepas bacterianas y se adaptaron a concentraciones elevadas de cromo. Se logró una depuración de hasta el 89% de Cr (III) y cromo total, especialmente con la cepa Corynebacterium aquaticus. También se redujo la contaminación de plomo, cadmio y otros parámetros físico-químicos. Este enfoque biotecnológico demostró ser eficiente y de bajo consumo energético para tratar aguas residuales industriales altamente contaminadas. Palabras clave: Depuración, Cromo, Microorganismos, Aguas Residuales, Biotecnología. Categoría: Tratamiento de Aguas Residuales.|||Investigación|Depuración, Cromo, Microorganismos, Aguas Residuales, Biotecnología|Proyecto|UCSM|33
"E-Orurejuv
"|"Buscamos darle utilidad al orujo de uva, un producto residuo de la industria vinícola peruana, ya que para los agricultores ya no cuenta con utilidad, pero esta misma cuenta con mucho antioxidantes aceites y vitaminas, incluso tiene propiedades para proteger del sol, tanto para los rayos UV y como las quemaduras solares, de esta manera buscamos hacer un producto enocosmetico.

"|||Emprendimiento|"Orujo de uva, Residuo, Industria vinícola, Agricultores, Antioxidantes, Aceites, Vitaminas, Protección solar, Rayos UV, Quemaduras solares, Producto enocosmético.




"|Proyecto|INNICIA|34
"Govlink
"|"Un alimento alternativo a base de harina de larva de Hermetia illucens como suplemento alimenticio en la dieta de animales menores como cuyes.

"|||Emprendimiento|"Alimento alternativo, Harina de larva, Hermetia illucens, Suplemento alimenticio, Dieta, Animales menores, Cuyes.




"|Proyecto|INNICIA|35
"Héroes del Destino
"|"Héroes del Destino es un juego de estrategia y azar, en el cuál pondrás a prueba tus habilidades y tu suerte. Mediante una serie de historias, podrás elegir tu equipo de batalla y así enfrentarte a tus adversarios.

"|||Emprendimiento|Héroes del Destino, Juego, Estrategia, Azar, Habilidades, Suerte, Historias, Equipo de batalla, Adversarios.|Proyecto|INNICIA|36
Mejora de la eficiencia del proceso de lavado de granos de quinua por hidrocavitación, recuperación por tecnología de membranas y valorización de saponina en un contexto de una economía circular|Mejora de la eficiencia del proceso de lavado de granos de quinua por hidrocavitación, recuperación por tecnología de membranas y valorización de saponina en un contexto de una economía circular|||Tecnología|Quinua, Hidrocavitación, Tecnología de Membranas, Economía Circular, Eficiencia de Proceso, Saponina, Valorización, Agricultura Sostenible.|Proyecto|UCSM|37
"Insectfood
"|"Héroes del Destino es un juego de estrategia y azar, en el cuál pondrás a prueba tus habilidades y tu suerte. Mediante una serie de historias, podrás elegir tu equipo de batalla y así enfrentarte a tus adversarios.

"|||Emprendimiento|"Héroes del Destino, juego, estrategia, azar, habilidades, suerte, historias, equipo de batalla, adversarios.





"|Proyecto|INNICIA|38
Kolmena|"Somos una solución tecnológica e innovadora que busca transformar y digitalizar los condominios en Latinoamérica agilizando la gestión interna, la administración de las finanzas y la reserva de áreas comunes con el objetivo de mejorar la calidad de vida y comunicación entre vecinos.

"|||Emprendimiento|Solución tecnológica, Innovadora, Condominios, Latinoamérica, Gestión interna, Administración, Finanzas, Reserva, Áreas comunes, Calidad de vida, Comunicación, Vecinos.|Proyecto|INNICIA|39
"MindTerr
"|"Nosotras construimos sistemas sostenibles que limpian el agua, mediante biotecnología. El producto que ofrecemos en esta oportunidad, es un sistema llamado CoreandoAgua, este permite obtener agua de excelente calidad, para que los agricultores pueden regar sus campos de cultivo con agua limpia. Además, esto trae consigo que sus cosechas mejoren su calidad, que se usen menos insecticidas y fertilizantes por el aumento de servicios ecosistémicos que genera el sistema y que se llegue a una economía circular ya que, a partir del sistema, se generan plantas y algas que son materia prima para la producción de fibra y combustible. 

"|||Emprendimiento|"Sistemas sostenibles, Limpieza de agua, Biotecnología, Producto, CoreandoAgua, Calidad del agua, Agricultores, Riego, Cosechas, Insecticidas, Fertilizantes, Servicios ecosistémicos, Economía circular, Plantas, Algas, Materia prima, Fibra, Combustible.




"|Proyecto|INNICIA|40
Nero|"NERO es una aplicación que ofrece alimentos de calidad a bajos precios de establecimientos de comida que tengan sobre producción y poca rotación.
Con la finalidad de reducir desechos, ayudar a las empresas a minimizar sus pérdidas y ofrecer a los clientes comida de calidad y con grandes descuentos."|||Emprendimiento|NERO, Aplicación, Alimentos de calidad, Bajos precios, Establecimientos de comida, Sobreproducción, Poca rotación, Reducir desechos, Empresas, Pérdidas, Clientes, Descuentos.|Proyecto|INNICIA|41
Nutrix|"NUTRIX es una empresa comprometida con la salud alimentaria de las personas, nuestro producto Lemna Plus, es un complemento alimenticio que contiene proteínas vegetales, altos niveles de hierro, vitamina B12, omega 3, zinc, potasio y ácido fólico. Todo esto le da un alto potencial alimenticio, sin mencionar su facilidad de producción. Con estas características estamos comprometidos con el ambiente, la salud de las personas y somos accesibles para todo grupo económico.

"|||Emprendimiento|"NUTRIX, Empresa, Salud alimentaria, Producto, Lemna Plus, Complemento alimenticio, Proteínas vegetales, Hierro, Vitamina B12, Omega 3, Zinc, Potasio, Ácido fólico, Potencial alimenticio, Producción, Compromiso, Ambiente, Accesible, Grupo económico.




"|Proyecto|INNICIA|42
"Panqara Lab
"|"Viendo la necesidad de un sector poco desarrollado a nivel nacional es que implementamos un pequeño laboratorio para la producción de diferentes cultivos a nivel laboratorio y así reducir el uso de agroquímicos, los costos de producción, el tiempo de producción, además de mejorar la calidad de los mismos.

"|||Emprendimiento|"Necesidad, Sector poco desarrollado, Implementamos, Pequeño laboratorio, Producción, Cultivos, Agroquímicos, Costos de producción, Tiempo de producción, Calidad.




"|Proyecto|INNICIA|43
"Selvasato
"|"Somos un emprendimiento basado en la producción de bebidas alcohólicas artesanales basadas en productos naturales de la selva peruana con propiedades alimenticias que agregan valor nutricional al consumo.

"|||Emprendimiento|"Emprendimiento, Bebidas alcohólicas artesanales, Productos naturales, Selva peruana, Propiedades alimenticias, Valor nutricional, Consumo.




"|Proyecto|INNICIA|44
Nanayá|"Es un servicio de cuidado de bebes y niños por horas brindando a domicilio a toda la ciudad de Arequipa. Brinda el servicio 24 horas del día, los 7 días de la semana. Un equipo de control de Psicólogos se encarga de monitorear y garantizar cada hora de cuidado que es brindado por nuestras nanas, así nos aseguramos que tus hijos estén seguros y ustedes tranquilos

"|||Emprendimiento|"Servicio de cuidado, Bebés, Niños, Por horas, Domicilio, Ciudad de Arequipa, 24 horas al día, 7 días a la semana, Equipo de control, Psicólogos, Monitorear, Garantizar, Nanas, Seguridad, Tranquilidad.




"|Proyecto|INNICIA|45
"Cognita Conecta
"|"Plataforma y Web app encargada de conectar estudiantes con tutores que puedan ayudarlos a resolver sus dudas y/o dar clases particulares de algún curso en específico de la UCSM

"|||Emprendimiento|"Plataforma, Web app, Conectar, Estudiantes, Tutores, Resolver dudas, Clases particulares, Curso específico, UCSM.




"|Proyecto|INNICIA|46
"Scentinet Community
"|"Conectamos a tesistas, investigadores y profesionales con proveedores de información científica y tecnológica. Ayudamos a las personas a conectarse para que juntos puedan reducir las brechas de su conocimiento científico y tecnológico con el objetivo de descubrir mejores oportunidades para innovar en su entorno

"|||Emprendimiento|"Conectar, Tesistas, Investigadores, Profesionales, Proveedores de información científica y tecnológica, Brechas de conocimiento, Conocimiento científico, Conocimiento tecnológico, Oportunidades, Innovar.




"|Proyecto|INNICIA|47
"Ez Control
"|"Taller de desarrollo de hardware y software, brindamos servicio completamente personalizados a las personas que tengas una idea de un producto que requiera prototipo con la más alta calidad y velocidad de desarrollo que el mercado requiere para poder crear productos tecnológicos.
"|||Emprendimiento|"Taller, Desarrollo de hardware, Desarrollo de software, Servicio personalizado, Idea de producto, Prototipo, Alta calidad, Velocidad de desarrollo, Productos tecnológicos, Mercado.




"|Proyecto|INNICIA|48
"Le Qara
"|"Le Qara es una startup biotecnológica que nace para dar solución a los problemas de la industria de la moda, disrumpiendo los procesos tradicionales con biomateriales sustentables.

"|||Emprendimiento|"Le Qara, Startup, Biotecnológica, Industria de la moda, Biomateriales sustentables, Solución, Procesos tradicionales, Disrupción.




"|Proyecto|INNICIA|49
TECNOLOGIAS Y PLATAFORMAS EMERGENTES PARA COMPUTACION NEUROMORFICA EN ESPACIO|El proyecto NEUROSPACEWARE se enfoca en la revolucionaria tecnología del hardware neuromórfico de tercera generación, inspirada en el cerebro, con gran eficiencia energética y resistencia a fallos, especialmente prometedora para aplicaciones espaciales. A pesar de su potencial, se enfrenta a desafíos en eficiencia y algoritmos. El proyecto busca soluciones innovadoras utilizando tecnologías emergentes y FPGAs, considerando las restricciones espaciales. Sus objetivos incluyen desarrollar y validar hardware neuromórfico, evaluar efectos de radiación, explorar nuevas arquitecturas digitales y crear una plataforma basada en FPGA. NEUROSPACEWARE busca impulsar la computación neuromórfica y el hardware espacial. Palabras clave: Hardware Neuromórfico, Eficiencia Energética, Tecnologías Emergentes, FPGAs, Aplicaciones Espaciales. Categoría: Tecnología Espacial y Computación Neuromórfica.|2023-09-01|2027-08-31|Tecnología|Hardware Neuromórfico, Tercera Generación de Redes Neuronales, Eficiencia Energética, Tecnologías Emergentes, FPGAs, Computación Inspirada en el Cerebro, Aplicaciones Espaciales, Radiación, Modelos Neuronales y Sinápticos|Proyecto|UPC|50
